project_id,project_name,project_type,region,budget_at_completion,start_date,planned_end_date,duration_months,status
1,A47 Corridor Upgrade,Highways,Scotland,7095000,2023-12-31,2025-01-01,13,Complete
2,Weston Bypass,Highways,Scotland,3518000,2024-01-10,2024-10-01,9,Complete
3,Colne Valley Interchange,Highways,Scotland,12042000,2024-02-05,2025-04-01,14,Complete
4,Ridgeway Junction Improvement,Highways,South East,13344000,2024-11-30,2025-08-01,9,Complete
5,Meridian Transit Interchange,Rail,Midlands,3986000,2024-07-26,2025-04-01,9,Complete
6,Lower Dene Rail Link,Rail,South East,2804000,2024-06-15,2025-03-01,9,Complete
7,Ashcombe Station Renewal,Rail,Scotland,30426000,2025-05-15,2026-12-01,19,In delivery
8,Trent Valley Electrification,Rail,North East,4616000,2024-02-15,2024-12-01,10,Complete
9,Thameside Flood Defence,Water,South West,5641000,2023-10-14,2024-08-01,10,Complete
10,Calder Reservoir Upgrade,Water,Scotland,22947000,2023-02-01,2024-03-01,13,Complete
11,Millbrook Water Treatment Works,Water,Scotland,13297000,2025-02-24,2026-03-01,13,In delivery
12,Severnside Pumping Station,Water,North West,22326000,2023-12-03,2025-06-01,18,Complete
13,Kelder Storm Drainage,Water,South East,9186000,2023-08-14,2024-11-01,15,Complete
14,Trent Valley Substation,Energy,Midlands,7520000,2023-01-28,2023-10-01,9,Complete
15,Northmoor Wind Connection,Energy,North West,3805000,2023-06-26,2024-05-01,11,Complete
16,Estuary Grid Reinforcement,Energy,South West,3595000,2025-03-05,2025-12-01,9,Complete
17,Fenwick Solar Array Works,Energy,North West,13324000,2023-09-18,2024-11-01,14,Complete
18,Blackstone Battery Storage,Energy,Scotland,2745000,2025-05-06,2026-04-01,11,In delivery
19,Ashgrove Community Hospital,Public Building,Scotland,4704000,2023-05-22,2024-02-01,9,Complete
20,Kingsmead Library Redevelopment,Public Building,South East,6708000,2024-09-26,2025-09-01,12,Complete
21,Oldport Civic Centre,Public Building,South East,24607000,2025-03-10,2026-06-01,15,On hold
22,Riverside Leisure Centre,Public Building,Midlands,10869000,2024-11-06,2025-08-01,9,On hold
23,Fairholme School Extension,Public Building,South East,31856000,2024-09-17,2026-02-01,17,In delivery
